id,name,parentId
273,Stellar astrophysics,86
274,Helioseismology,86
275,Solar physics,86
276,Stellar evolution,86
277,Stellar nucleosynthesis,86
278,Space plasma physics,86
279,Planetary science,233
280,Atmospheric science,279
281,Exoplanetology,279
282,Planetary formation,279
283,Planetary rings,279
284,Magnetospheres,279
285,Planetary geology,279
286,Planetary surfaces,279
287,Small Solar System bodies,279
288,Mathematics,0
289,Algebra,288
290,Group theory,289
291,Ring theory,289
292,Commutative algebra,289
293,Field theory,289
294,Linear algebra,289
295,Multilinear algebra,289
296,Universal algebra,289
297,Homological algebra,289
298,Differential algebra,289
299,Lattice theory,289
300,Representation theory,289
301,K-theory,289
302,Category theory,289
303,Topos theory,289
304,Analysis,288
305,Real analysis,304
306,Calculus,304
307,Complex analysis,304
308,Functional analysis,304
309,Operator theory,304
310,Non-standard analysis,304
311,Harmonic analysis,304
312,Fourier analysis,304
313,p-adic analysis,304
314,Ordinary differential equations,304
315,Partial differential equations,304
316,Probability theory,288
317,Measure theory,316
318,Integral geometry,316
319,Ergodic theory,316
320,Stochastic process,316
321,Geometry and Topology,288
322,General topology,321
323,Algebraic topology,321
324,Geometric topology,321
325,Differential topology,321
326,Algebraic geometry,321
327,Projective geometry,321
328,Affine geometry,321
329,Non-Euclidean geometry,321
330,Convex geometry,321
331,Discrete geometry,321
332,Integral geometry,321
333,Euclidean geometry,321
334,Finite geometry,321
335,Galois geometry,321
336,Noncommutative geometry,321
337,Solid geometry,321
338,Trigonometry,321
339,Number theory,288
340,Analytic number theory,339
341,Algebraic number theory,339
342,Geometric number theory,339
343,Arithmetic,339
344,Arithmetic combinatorics,339
345,Logic and Foundations of mathematics,288
346,Set theory,345
347,Proof theory,345
348,Model theory,345
349,Recursion theory,345
350,Modal logic,345
351,Intuitionistic logic,345
352,Biology,0
353,Aerobiology,352
354,Anatomy,352
355,Comparative anatomy,354
356,Human anatomy,354
357,Biochemistry,352
358,Bioinformatics,352
359,Biotechnology,352
360,Botany,352
361,Ethnobotany,360
362,Phycology,360
363,Cell biology,352
364,Chronobiology,352
365,Computational biology,352
366,Cryobiology,352
367,Developmental biology,352
368,Embryology,367
369,Teratology,367
370,Ecology,352
371,Agroecology,370
372,Ethnoecology,370
373,Human ecology,370
374,Landscape ecology,370
375,Genetics,352
376,Behavioural genetics,375
377,Molecular genetics,375
378,Population genetics,375
379,Geobiology,352
380,Endocrinology,352
381,Evolutionary biology,352
382,Histology,352
383,Human biology,352
384,Immunology,352
385,Limnology,352
386,Linnaean taxonomy,352
387,Marine biology,352
388,Mathematical biology,352
389,Microbiology,352
390,Molecular biology,352
391,Mycology,352
392,Neuroscience,352
393,Behavioral neuroscience,352
394,Nutrition,352
395,Paleobiology,352
396,Paleontology,352
397,Parasitology,352
398,Pathology,352
399,Anatomical pathology,352
400,Clinical pathology,352
401,Dermatopathology,352
402,Forensic pathology,352
403,Hematopathology,352
404,Histopathology,352
405,Molecular pathology,352
406,Surgical pathology,352
407,Physiology,352
408,Human physiology,352
409,Exercise physiology,352
410,Quantum biology,352
411,Structural Biology,352
412,Taxonomy,352
413,Systems biology,352
414,Theoretical biology,352
415,Virology,352
416,Molecular virology,352
417,Xenobiology,352
418,Zoology,352
419,Animal communications,418
420,Apiology,418
421,Arachnology,418
422,Carcinology,418
423,Cetology,418
424,Entomology,418
425,Forensic entomology,418
426,Ethnozoology,418
427,Ethology,418
428,Helminthology,418
429,Herpetology,418
430,Ichthyology,418
431,Mammalogy,418
432,Malacology,418
433,Conchology,418
434,Myrmecology,418
435,Nematology,418
436,Neuroethology,418
437,Oology,418
438,Ornithology,418
439,Planktology,418
440,Primatology,418
441,Zootomy,418
442,Zoosemiotics,418
443,Medicine,0
444,Alternative medicine,443
445,Cleaning,443
446,Clinical pathology,443
447,Clinical biochemistry,443
448,Cytogenetics,443
449,Cytohematology,443
450,Cytology,443
451,Haemostasiology,443
452,Histology,443
453,Clinical immunology,443
454,Clinical microbiology,443
455,Molecular genetics,443
456,Parasitology,443
457,Clinical physiology,443
458,Cosmetology,443
459,Decontamination,443
460,Dentistry,443
461,Dental hygiene and epidemiology,443
462,Dental surgery,443
463,Endodontics,443
464,Orthodontics,443
465,Oral and maxillofacial surgery,443
466,Periodontics,443
467,Prosthodontics,443
468,Implantology,443
469,Dermatology,443
470,Emergency medicine,443
471,Health informatics,443
472,Music therapy,443
473,Nursing,443
474,Nutrition and dietetics,443
475,Optometry,443
476,Orthoptics,443
477,Osteopathy,443
478,Physiotherapy,443
479,Occupational therapy,443
480,Speech and language pathology,443
481,Internal medicine,443
482,Preventive medicine,443
483,Cardiology,443
484,Cardiac electrophysiology,443
485,Dermatology,443
486,Pulmonology,443
487,Medical toxicology,443
488,Endocrinology,443
489,Gastroenterology,443
490,Hepatology,443
491,Oncology,443
492,Geriatrics,443
493,Gynaecology,443
494,Hematology,443
495,Infectious disease,443
496,Nephrology,443
497,Neurology,443
498,Neurosurgery,443
499,Obstetrics,443
500,Ophthalmology,443
501,Neuro-ophthalmology,443
502,Orthopedic surgery,443
503,Otolaryngology,443
504,Pathology,443
505,Pediatrics,443
506,Pharmacy,443
507,Pharmaceutical sciences,443
